scenario;region;crop;water;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units
CO2B_W;USA;RootTuber;IRR;4.1759866;3.6736152;3.4879118;3.4440394;3.493582493;3.54450707;3.584515628;3.613895321;3.644035312;3.625951518;3.554744721;thous km2
CO2B_W;USA;RootTuber;RFD;1.5236716;1.3275134;1.2640726;1.2457442;1.265329605;1.281944779;1.292867435;1.28766028;1.301141108;1.286217623;1.402030116;thous km2
CO2B_W;USA;Shrubland;NA;295.798012;282.351432;284.733551;286.77826;285.191099;282.422776;281.21484;276.137604;272.766374;269.08557;267.863772;thous km2
CO2B_W;USA;Soybean;IRR;17.0663962;20.928762;22.0662524;22.9114698;23.01740303;22.44383914;21.0573714;19.35735423;16.47665697;14.95505207;6.025485232;thous km2
CO2B_W;USA;Soybean;RFD;217.2576618;259.9447208;266.8926468;272.0572346;281.9440328;284.5497002;283.6779151;302.4124083;325.6066747;414.0791274;430.2724049;thous km2
CO2B_W;USA;SugarCrop;IRR;1.988699;1.895664;1.6831682;1.6877442;1.624545306;1.554721378;1.443326089;1.380083913;1.22997487;1.190861378;1.121537734;thous km2
CO2B_W;USA;SugarCrop;RFD;3.4868538;3.2848356;2.8729856;2.8182732;2.716032767;2.609001972;2.485107485;2.517451622;2.603009241;2.724311472;3.025052685;thous km2
CO2B_W;USA;SugarCropC4;IRR;1.4145958;1.5176076;1.44047;1.45649;1.520098718;1.575850351;1.63050784;1.664855112;1.734599849;1.564865284;1.168312042;thous km2
CO2B_W;USA;SugarCropC4;RFD;2.2611044;2.2295796;2.116256;2.0600152;2.1337999;2.2123249;2.2982201;2.3741019;2.5030273;2.6859623;3.0561348;thous km2
CO2B_W;USA;Tundra;NA;391.75199;383.32132;382.40644;381.15627;381.15627;381.15627;381.15627;381.15627;381.15627;381.15627;381.15627;thous km2
CO2B_W;USA;UnmanagedForest;NA;625.9283002;739.4240659;930.2597895;897.5652721;873.1483827;831.9081249;853.9917766;798.740367;768.1080186;740.9371109;712.9626034;thous km2
CO2B_W;USA;UnmanagedPasture;NA;1835.169194;1920.046105;1954.214823;1968.792777;1927.01284;1868.467896;1817.112706;1702.049559;1634.691899;1559.113209;1522.523453;thous km2
CO2B_W;USA;UrbanLand;NA;89.9385;117.64165;125.79919;134.45224;134.45224;134.45224;134.45224;134.45224;134.45224;134.45224;134.45224;thous km2
CO2B_W;USA;Vegetables;IRR;5.4504232;5.388803;4.8581282;4.7676402;4.729132234;4.692826938;4.646141285;4.725524378;4.776704662;4.773155179;4.535021378;thous km2
CO2B_W;USA;Vegetables;RFD;3.6886436;3.4980854;3.0923848;2.9487004;2.957292997;2.999843612;3.041050651;3.106478931;3.267218917;3.482044417;4.100236523;thous km2
CO2B_W;USA;Wheat;IRR;13.6658558;11.6039652;11.4572172;10.6615092;10.20079197;9.756352431;8.705253685;7.424260444;5.610193883;4.03867561;2.962145271;thous km2
CO2B_W;USA;Wheat;RFD;232.5519818;191.050619;188.1519176;174.5018618;181.4698633;189.6726411;188.3848428;188.5439638;192.3691264;190.1558311;190.9879912;thous km2
CO2B_W;USA;biomassGrass;IRR;0;0;0;0;0;0.581974786;1.012020753;2.574280166;2.857023417;2.59997234;2.146176669;thous km2
CO2B_W;USA;biomassGrass;RFD;0;0;0;0;0;9.385309235;17.25826644;45.37470431;56.352234;63.68594181;74.44067575;thous km2
CO2B_W;USA;biomassTree;IRR;0;0;0;0;0;3.590274937;5.587516181;12.42993327;12.79412095;12.58779188;10.44524499;thous km2
CO2B_W;USA;biomassTree;RFD;0;0;0;0;0;40.75368726;73.38784047;169.6957226;200.929801;221.704492;251.3925617;thous km2
Reference;USA;CornC4;IRR;38.5231292;43.8021354;47.4697554;47.951657;49.9932986;49.68578211;48.67763369;48.13398877;50.0263447;54.31733874;58.01911032;thous km2
