scenario;region;subsector;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units;technology;CCS;technology_code;grid
CO2B;AL;wind_base;0;0;0;0;0.00609614;0.00989034;0.02185524;0.04318894;0.06197304;0.08548684;0.1170258;EJ;wind;no CCS;g wind;Southeast
CO2B;AL;wind_base_offshore;0;0;0.00E+00;0;0;6.52E-04;0.006526572;0.020966572;0.037053572;0.049053872;0.05005931;EJ;wind;no CCS;g wind;Southeast
CO2B;AL;wind_base_storage;0;0;0.00E+00;0.00E+00;2.54E-04;3.96E-04;8.30E-04;0.001659309;0.002481594;0.003715994;0.005592476;EJ;wind;no CCS;g wind;Southeast
CO2B;AR;PV_base_storage;0;0;0;0;3.85E-05;5.34E-05;1.38E-04;3.08E-04;4.76E-04;7.29E-04;0.001008203;EJ;solar;no CCS;h solar;Southeast
CO2B;AR;PV_int;0;0;0;0;0.00283386;0.00596829;0.01457483;0.02472953;0.03487513;0.05456713;0.07322617;EJ;solar;no CCS;h solar;Southeast
CO2B;AR;PV_peak;0;0;0;0;1.11E-04;2.02E-04;3.76E-04;5.13E-04;6.51E-04;8.93E-04;0.001181891;EJ;solar;no CCS;h solar;Southeast
CO2B;AR;PV_subpeak;0;0;0;4.60E-06;6.00E-04;1.17E-03;0.002266788;0.003169997;0.004111562;0.006125152;0.00821399;EJ;solar;no CCS;h solar;Southeast
CO2B;AR;biomass_base_IGCC;0;0;0;0;4.34E-05;5.81E-05;1.52E-04;2.37E-04;1.04E-04;4.13E-05;2.90E-05;EJ;biomass;no CCS;d biomass;Southeast
CO2B;AR;biomass_base_IGCC_CCS;0;0;0;0;0;0;1.18E-04;8.40E-04;0.001949031;0.003889964;0.007349493;EJ;biomass;w/ CCS;d biomass;Southeast
CO2B;AR;biomass_base_conv;0;2.91E-04;1.33E-04;3.17E-04;1.23E-04;1.43E-04;4.19E-04;3.01E-04;9.57E-05;3.18E-05;2.06E-05;EJ;biomass;no CCS;d biomass;Southeast
CO2B;AR;biomass_base_conv_CCS;0;0;0;0.00E+00;0;0;2.28E-04;0.002160394;0.004988765;0.009098646;0.016531316;EJ;biomass;w/ CCS;d biomass;Southeast
CO2B;AR;biomass_int_IGCC;0;0;0;0;1.57E-05;2.59E-05;4.06E-05;6.27E-05;5.42E-05;5.09E-05;4.62E-05;EJ;biomass;no CCS;d biomass;Southeast
CO2B;AR;biomass_int_IGCC_CCS;0;0;0;0;0;0;9.43E-06;4.11E-05;1.03E-04;3.44E-04;7.80E-04;EJ;biomass;w/ CCS;d biomass;Southeast
CO2B;AR;biomass_int_conv;0.00E+00;2.91E-04;1.33E-04;3.17E-04;1.72E-04;2.20E-04;2.82E-04;1.86E-04;7.70E-05;5.49E-05;4.36E-05;EJ;biomass;no CCS;d biomass;Southeast
CO2B;AR;biomass_int_conv_CCS;0;0;0;0.00E+00;0;0;1.80E-05;8.34E-05;2.07E-04;6.60E-04;0.001469908;EJ;biomass;w/ CCS;d biomass;Southeast
CO2B;AR;coal_base_IGCC_CCS;0;0;0;0;0;0;0.001052709;0.002978123;0.004613048;0.005748908;0.005983141;EJ;coal;w/ CCS;c coal;Southeast
CO2B;AR;coal_base_conv pul;0.03436741;0.04729834;0.06013618;0;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Southeast
CO2B;AR;coal_base_conv pul 1976-1980;0;0;0;0.01426592;0.01423303;0.01423222;0.006549258;5.21E-04;4.53E-05;1.55E-06;1.78E-07;EJ;coal;no CCS;c coal;Southeast
