scenario;region;sector;subsector;output;technology;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units;basin;region_id;subRegion;basin_name
CO2B;USA;Corn;CornC4_TexasCst;Corn;CornC4_TexasCst_IRR_lo;0.306536;0.462801;0.495774;0.56502;0.60015;0.611863;0.617911;0.701193;0.737704;0.761911;0.793376;Mt;TexasCst;225;Texas_Gulf_Coast;Texas Gulf Coast
CO2B;USA;Corn;CornC4_TexasCst;Corn;CornC4_TexasCst_RFD_hi;0.959078;1.44799;1.55116;1.76781;1.99619;2.11387;2.20717;2.96824;3.48037;4.18663;4.68659;Mt;TexasCst;225;Texas_Gulf_Coast;Texas Gulf Coast
CO2B;USA;Corn;CornC4_TexasCst;Corn;CornC4_TexasCst_RFD_lo;0.639385;0.965328;1.0341;1.17854;1.27131;1.31884;1.347;1.5328;1.61714;1.67047;1.74036;Mt;TexasCst;225;Texas_Gulf_Coast;Texas Gulf Coast
CO2B;USA;Corn;CornC4_UsaColoRN;Corn;CornC4_UsaColoRN_IRR_hi;0.0376898;0.0569031;0.0609573;0.0694714;0.0753485;0.0761865;0.0720932;0.0889122;0.0960729;0.101202;0.11116;Mt;UsaColoRN;220;Upper_Colorado_River;Upper Colorado River
CO2B;USA;Corn;CornC4_UsaColoRN;Corn;CornC4_UsaColoRN_IRR_lo;0.0251265;0.0379354;0.0406382;0.0463142;0.048492;0.0485271;0.0453146;0.0477834;0.0468903;0.0429135;0.0442288;Mt;UsaColoRN;220;Upper_Colorado_River;Upper Colorado River
CO2B;USA;Corn;CornC4_UsaColoRN;Corn;CornC4_UsaColoRN_RFD_hi;0.0076288;0.0115177;0.0123383;0.0140617;0.0156507;0.0162245;0.0157371;0.0196783;0.0215178;0.0229599;0.0254629;Mt;UsaColoRN;220;Upper_Colorado_River;Upper Colorado River
CO2B;USA;Corn;CornC4_UsaColoRN;Corn;CornC4_UsaColoRN_RFD_lo;0.0050859;0.0076785;0.0082256;0.0093745;0.00996785;0.0101217;0.00958832;0.0101403;0.0099776;0.00913623;0.009424;Mt;UsaColoRN;220;Upper_Colorado_River;Upper Colorado River
CO2B;USA;Corn;CornC4_UsaColoRS;Corn;CornC4_UsaColoRS_IRR_hi;0.0695564;0.105015;0.112497;0.128209;0.140026;0.143243;0.146106;0.195021;0.226674;0.275305;0.301161;Mt;UsaColoRS;221;Lower_Colorado_River;Lower Colorado River
CO2B;USA;Corn;CornC4_UsaColoRS;Corn;CornC4_UsaColoRS_IRR_lo;0.0463709;0.0700097;0.0749977;0.0854728;0.0901934;0.0915151;0.0924931;0.105916;0.112386;0.119382;0.123655;Mt;UsaColoRS;221;Lower_Colorado_River;Lower Colorado River
CO2B;USA;Corn;CornC4_UsaColoRS;Corn;CornC4_UsaColoRS_RFD_hi;0.0001442;0.0002178;0.0002333;0.0002658;0.000298259;0.000313686;0.000329301;0.00044702;0.000528577;0.000653632;0.000727583;Mt;UsaColoRS;221;Lower_Colorado_River;Lower Colorado River
CO2B;USA;Corn;CornC4_UsaColoRS;Corn;CornC4_UsaColoRS_RFD_lo;0.0000961;0.0001452;0.0001555;0.0001772;0.00018995;0.0001957;0.000200847;0.000230617;0.00024534;0.000260414;0.000269706;Mt;UsaColoRS;221;Lower_Colorado_River;Lower Colorado River
CO2B;USA;Corn;CornC4_UsaCstE;Corn;CornC4_UsaCstE_IRR_hi;0.157194;0.237328;0.254236;0.289746;0.310218;0.309618;0.302783;0.370765;0.407283;0.449028;0.479316;Mt;UsaCstE;233;Mid_Atlantic;Mid Atlantic Basin
CO2B;USA;Corn;CornC4_UsaCstE;Corn;CornC4_UsaCstE_IRR_lo;0.104796;0.158218;0.169491;0.193164;0.199594;0.197176;0.190436;0.199317;0.198763;0.190397;0.190754;Mt;UsaCstE;233;Mid_Atlantic;Mid Atlantic Basin
CO2B;USA;Corn;CornC4_UsaCstE;Corn;CornC4_UsaCstE_RFD_hi;1.86082;2.80942;3.00958;3.42994;3.76735;3.85505;3.87008;4.80886;5.3525;5.99519;6.45879;Mt;UsaCstE;233;Mid_Atlantic;Mid Atlantic Basin
CO2B;USA;Corn;CornC4_UsaCstE;Corn;CornC4_UsaCstE_RFD_lo;1.24055;1.87295;2.00639;2.28663;2.39928;2.40506;2.36048;2.4809;2.48437;2.38853;2.39419;Mt;UsaCstE;233;Mid_Atlantic;Mid Atlantic Basin
CO2B;USA;Corn;CornC4_UsaCstNE;Corn;CornC4_UsaCstNE_IRR_hi;0.0112086;0.0169224;0.0181281;0.0206601;0.0222507;0.0220615;0.0213646;0.026259;0.0289749;0.0328568;0.0352267;Mt;UsaCstNE;232;New_England;New England Basin
CO2B;USA;Corn;CornC4_UsaCstNE;Corn;CornC4_UsaCstNE_IRR_lo;0.0074724;0.0112816;0.0120854;0.0137734;0.0143219;0.0140501;0.013379;0.0140515;0.0140871;0.0138645;0.0139305;Mt;UsaCstNE;232;New_England;New England Basin
