scenario;region;fuel;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units
CO2B;MA;wind;0;0;7.20001E-05;0.000678791;0.00183076;0.004845422;0.012640433;0.023932489;0.033477333;0.046581324;0.064008837;EJ
CO2B;MA;solar;0;0;5.59998E-06;0.00211839;0.003872353;0.008574029;0.022645642;0.035130806;0.049775209;0.072139063;0.091386511;EJ
CO2B;MD;nuclear;0.00477532;0.0548772;0.0523733;0.0549041;0.0549039;0.054917636;0.059546144;0.041686416;0.025170596;0.044269761;0.068091379;EJ
CO2B;MD;hydro;0.0078018;0.0062574;0.0060911;0.0059235;0.0069169;0.0069062;0.0068987;0.0068997;0.0068843;0.0068265;0.0068341;EJ
CO2B;MD;wind;0;0;5.59996E-06;0.00158456;0.005746325;0.008493041;0.017155128;0.032479863;0.050036834;0.073381832;0.09945042;EJ
CO2B;MD;solar;0;0;8.99995E-07;0.000529186;0.009280226;0.014398379;0.03331997;0.055621274;0.077739889;0.115150953;0.144136671;EJ
CO2B;ME;nuclear;0.0185489;0;0;0;0;4.17963E-06;5.35439E-05;0.000118351;0.000242577;0.000593615;0.001351205;EJ
CO2B;ME;hydro;0.0093206;0.0127296;0.0113423;0.0108406;0.0126586;0.0126391;0.0126254;0.0126272;0.0125989;0.0124933;0.0125072;EJ
CO2B;ME;wind;0;0;0.0018068;0.00472443;0.004980875;0.005526198;0.007599205;0.011084165;0.01453141;0.016224038;0.025991399;EJ
CO2B;ME;solar;0;0;0;0;0.0002108;0.000885343;0.003190079;0.005266574;0.007818293;0.012075805;0.015701132;EJ
CO2B;MI;nuclear;0.0824681;0.1226866;0.1108709;0.109984;0.1083957;0.105248012;0.124423794;0.136019353;0.134384371;0.159954732;0.203296526;EJ
CO2B;MI;hydro;0.0054462;0.0052623;0.0044656;0.0053612;0.0062603;0.0062507;0.0062438;0.0062448;0.0062308;0.0061785;0.0061854;EJ
CO2B;MI;wind;0;6.49999E-06;0.00130408;0.01748965;0.046554093;0.066899867;0.158820672;0.234920267;0.293980281;0.374085815;0.464517293;EJ
CO2B;MI;solar;0;0;0;5.5998E-06;0.012957484;0.021479433;0.048166396;0.078104962;0.108919;0.164212192;0.212755418;EJ
CO2B;MN;nuclear;0.0463248;0.0479054;0.0504422;0.0451377;0.0451372;0.04514959;0.051001498;0.020829579;0.028969508;0.049440681;0.067326136;EJ
CO2B;MN;hydro;0.0023259;0.0023696;0.0026054;0.0026776;0.0031266;0.0031218;0.0031184;0.0031189;0.0031119;0.0030858;0.0030892;EJ
CO2B;MN;wind;1.20003E-06;0.005719452;0.01730052;0.03554832;0.041058955;0.050371;0.084143668;0.114736287;0.134682367;0.160725094;0.202967038;EJ
CO2B;MN;solar;0;0;0;1.31995E-05;0.00285873;0.006414566;0.020406264;0.032958133;0.046036576;0.083715015;0.106700668;EJ
CO2B;MO;nuclear;0.0305212;0.0299725;0.0336683;0.0391445;0.0391442;0.039165438;0.047679354;0.057733058;0.068982443;0.051289637;0.085520291;EJ
CO2B;MO;hydro;0.0074394;0.004258;0.0056234;0.0058205;0.0067966;0.0067862;0.0067788;0.0067798;0.0067646;0.0067078;0.0067153;EJ
CO2B;MO;wind;0;0;0.003349668;0.003766632;0.035751338;0.05018408;0.09460542;0.133398326;0.170915803;0.22967497;0.299794173;EJ
CO2B;MO;solar;0;0;0;7.75984E-05;0.045143829;0.057188844;0.099877048;0.156529811;0.21526109;0.307781269;0.390188647;EJ
CO2B;MS;nuclear;0.0283246;0.0376137;0.0360904;0.0439226;0.0439223;0.043931148;0.047051036;0.053215528;0.05949131;0.025820427;0.039969034;EJ
CO2B;MS;wind;0;0;0;0;0.001567653;0.002758639;0.007279363;0.014187273;0.018947619;0.024658185;0.030300401;EJ
CO2B;MS;solar;0;0;0;0;0.007362552;0.015151083;0.035791753;0.056786779;0.078379985;0.119446114;0.158220858;EJ
CO2B;MT;nuclear;0;0;0;0;0;4.01183E-06;3.81324E-05;9.57524E-05;0.000203076;0.000543426;0.001003983;EJ
CO2B;MT;hydro;0.03637003;0.0352131;0.0343924;0.0360821;0.042133;0.0420683;0.0420225;0.0420287;0.0419345;0.0415828;0.0416291;EJ
CO2B;MT;wind;0;0;0.0033668;0.00716342;0.01604704;0.034525243;0.090749454;0.147055033;0.200681351;0.310784992;0.411710501;EJ
CO2B;MT;solar;3.17004E-05;2.85004E-05;4.19998E-05;0.000169197;0.012522027;0.019087437;0.029719783;0.042430266;0.055673108;0.078144758;0.090212817;EJ
CO2B;NC;nuclear;0.0988609;0.1492248;0.15247;0.1578374;0.1578238;0.157760972;0.16969298;0.188009654;0.171752971;0.138178239;0.166159235;EJ
CO2B;NC;hydro;0.0230515;0.0171026;0.0173282;0.0172645;0.0201597;0.0201288;0.0201069;0.0201098;0.0200648;0.0198965;0.0199186;EJ
CO2B;NC;wind;0;0;0;0;0.005887449;0.010197928;0.028264582;0.066590077;0.107393331;0.169137939;0.246761466;EJ
CO2B;NC;solar;0;0;0.000104099;0.00612133;0.015186342;0.025025949;0.053726786;0.080838185;0.11015283;0.157605758;0.206757527;EJ
CO2B;ND;nuclear;0;0;0;0;0;3.6533E-06;3.43228E-05;0.000117143;0.000197788;0.000496884;0.000924269;EJ
CO2B;ND;hydro;0.0058071;0.0049284;0.0074601;0.0076421;0.0089237;0.00891;0.0089003;0.0089016;0.0088816;0.0088071;0.0088169;EJ
CO2B;ND;wind;0;0.000796309;0.0148238;0.02372049;0.025876157;0.029832686;0.051327851;0.071293641;0.084169538;0.100876638;0.129020487;EJ
CO2B;ND;solar;7.00008E-07;7.0001E-07;9.99992E-07;3.99984E-06;0.003002409;0.006575536;0.021473486;0.03853229;0.053472536;0.088468333;0.11347834;EJ
CO2B;NE;nuclear;0.0286641;0.0328515;0.0413713;0.0387116;0.0387099;0.038633556;0.034911228;0.018158705;0.025256569;0.042959858;0.058070267;EJ
CO2B;NE;hydro;0.0038691;0.0032009;0.0047996;0.0061486;0.0071797;0.0071687;0.0071609;0.0071619;0.0071459;0.007086;0.0070938;EJ
CO2B;NE;wind;0;0.000349204;0.001526278;0.01159634;0.01570652;0.023357851;0.05420323;0.082959509;0.101549806;0.146015256;0.184620796;EJ
CO2B;NE;solar;9.96012E-05;8.95014E-05;0.000132099;0.000532378;0.005380175;0.011076996;0.035278364;0.063244187;0.086495628;0.136676032;0.170282316;EJ
CO2B;NH;nuclear;0.0155723;0.0352926;0.0408319;0.0355608;0.0355607;0.035564536;0.039126292;0.0453806;0.051127692;0.060383575;0.03921837;EJ
CO2B;NH;hydro;0.0057891;0.0065769;0.0053789;0.0046352;0.0054125;0.0054042;0.0053983;0.0053991;0.005387;0.0053418;0.0053478;EJ
CO2B;NH;wind;0;0;0.0002738;0.00154428;0.004301452;0.010180601;0.023775199;0.040825523;0.052894242;0.065256105;0.076469847;EJ
CO2B;NH;solar;0;0;0;0;0.000477789;0.001884664;0.0062463;0.010111287;0.014662832;0.022245114;0.028367604;EJ
CO2B;NJ;nuclear;0.0907099;0.117164;0.1226482;0.1247121;0.1236052;0.1212697;0.122431502;0.120105155;0.108062846;0.107731687;0.119568933;EJ
CO2B;NJ;hydro;0.0001064;0.000108;0.0000663;0.0000349;0.0000408;0.0000407;0.0000406;0.0000407;0.0000406;0.0000402;0.0000403;EJ
CO2B;NJ;wind;0;0;4.55996E-05;0.000078598;0.003765998;0.005916751;0.009471567;0.019874792;0.034333214;0.056330858;0.072825298;EJ
CO2B;NJ;solar;0;0;0.000191199;0.00233324;0.009337695;0.015192058;0.035279586;0.055862041;0.078246746;0.116676776;0.152368379;EJ
CO2B;NM;nuclear;0;0;0;0;0;6.28153E-06;5.98841E-05;0.000148882;0.00030832;0.000785382;0.001487248;EJ
CO2B;NM;hydro;0.0006972;0.0006061;0.0007927;0.000363;0.0004239;0.0004232;0.0004228;0.0004228;0.0004219;0.0004183;0.0004188;EJ
CO2B;NM;wind;0;0.00287207;0.006631442;0.00760992;0.014652778;0.021007706;0.051343436;0.071610569;0.088986511;0.116695008;0.155809749;EJ
CO2B;NM;solar;0.000345506;0.000310598;0.000539686;0.004751298;0.011360183;0.018135521;0.037535114;0.05741304;0.079133328;0.114836265;0.145733683;EJ
CO2B;NV;nuclear;0;0;0;0;0;1.09557E-05;9.13316E-05;0.000217459;0.000449548;0.001101972;0.002100157;EJ
CO2B;NV;hydro;0.0058883;0.0062526;0.0078809;0.008262;0.0096475;0.0096327;0.0096222;0.0096236;0.0096021;0.0095215;0.0095321;EJ
CO2B;NV;wind;0;0;0;0.00112916;0.00222453;0.005483845;0.015203755;0.024054811;0.032195433;0.048124314;0.063215081;EJ
CO2B;NV;solar;0.000170502;0.000153202;0.002194588;0.008516966;0.023874341;0.035878092;0.069628434;0.105037771;0.139738966;0.189895896;0.24328929;EJ
CO2B;NY;nuclear;0.0901483;0.1584108;0.1566996;0.1672374;0.1639168;0.151308801;0.125679022;0.086195218;0.06577582;0.100621616;0.14548109;EJ
CO2B;NY;hydro;0.0952017;0.0944657;0.092829;0.0946892;0.110568;0.110399;0.110278;0.110295;0.110048;0.109125;0.109246;EJ
CO2B;NY;wind;0;0.0003723;0.00939665;0.0144915;0.026742764;0.052718533;0.124273819;0.205955658;0.268698553;0.339673882;0.423093915;EJ
CO2B;NY;solar;0;0;0;0.000462794;0.015205101;0.031952139;0.083117527;0.127718244;0.176229513;0.265846194;0.336970699;EJ
CO2B;OH;nuclear;0.0406946;0.0552481;0.0591501;0.0651523;0.0650273;0.064680901;0.086806414;0.10804374;0.117397402;0.139406388;0.173462283;EJ
CO2B;OH;hydro;0.0006157;0.0018943;0.0015674;0.0016666;0.0019461;0.0019431;0.001941;0.0019413;0.0019369;0.0019207;0.0019228;EJ
CO2B;OH;wind;0;4.80999E-05;4.55993E-05;0.004262647;0.028722682;0.045509477;0.115582204;0.171074228;0.21404768;0.280681507;0.344225755;EJ
CO2B;OH;solar;0;0;0.000117198;0.000239791;0.01606959;0.026390092;0.05501243;0.085269262;0.118512905;0.17926295;0.230789275;EJ
CO2B;OK;nuclear;0;0;0;0;0;1.18118E-05;0.000115532;0.000318352;0.000597114;0.001564009;0.003211481;EJ
CO2B;OK;hydro;0.0092671;0.009661;0.0102609;0.0097211;0.0113513;0.0113339;0.0113215;0.0113232;0.0112978;0.0112031;0.0112156;EJ
CO2B;OK;wind;0;0.003033514;0.0137828;0.05115701;0.053025274;0.056795592;0.084752286;0.108412199;0.124645156;0.133662717;0.184819784;EJ
CO2B;OK;solar;0.000103935;9.26856E-05;0.000138095;0.00056428;0.001325184;0.010445518;0.049335598;0.084534726;0.119912774;0.204459919;0.277770468;EJ
CO2B;OR;nuclear;0.02317908;0;0;0;0;1.47399E-05;0.000125165;0.000280734;0.000579636;0.001701043;0.003441843;EJ
CO2B;OR;hydro;0.139959;0.113669;0.111573;0.114051;0.133177;0.132972;0.132827;0.132847;0.132549;0.131438;0.131584;EJ
CO2B;OR;wind;2.30015E-06;0.00265385;0.0141885;0.0241788;0.027966633;0.034208782;0.047576797;0.060607724;0.073620267;0.081551537;0.109366337;EJ
CO2B;OR;solar;5.78008E-05;5.19006E-05;7.65996E-05;0.000423494;0.003974994;0.006859361;0.012790198;0.018618801;0.024708442;0.035396995;0.043839251;EJ
CO2B;PA;nuclear;0.2205209;0.2847367;0.2912778;0.3018919;0.2998052;0.295145832;0.304701832;0.312589308;0.294859997;0.303943232;0.335209325;EJ
CO2B;PA;hydro;0.0097372;0.0081987;0.0085197;0.0095014;0.0110948;0.0110777;0.0110657;0.0110673;0.0110425;0.0109499;0.0109621;EJ
CO2B;PA;wind;0;0.0010273;0.00671055;0.0122244;0.039433278;0.057381008;0.114500697;0.213682381;0.30315364;0.410940537;0.494433343;EJ
