scenario;region;subsector;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units
CO2B;Hawaii grid;HI;0.00130543;0.00139726;0.00137664;0.00129632;0.00138364;0.0013543;0.00126127;0.00125862;0.00133179;0.00154618;0.00209374;EJ
CO2B;Hawaii grid;electricity;0.036262;0.0388127;0.03824;0.0360088;0.0384344;0.0376195;0.0350354;0.0349617;0.0369943;0.0429494;0.0581595;EJ
CO2B;Mid-Atlantic grid;DC;0;0;0;5.90985E-05;3.80298E-05;6.22506E-05;0.000125376;0.000161398;0.000233536;0.000339379;0.000506617;EJ
CO2B;Mid-Atlantic grid;DC;0.00152164;0.000935204;0;5.90985E-05;0.000127052;0.00019048;0.000261189;0.00033527;0.000402865;0.000502847;0.000639616;EJ
CO2B;Mid-Atlantic grid;DC;0;0;0.000489698;0;0;0;0;0;0;0;0;EJ
CO2B;Mid-Atlantic grid;DC;0.00038041;0.000233802;0.000489697;0;0;0;0;0;0;0;0;EJ
CO2B;Mid-Atlantic grid;DE;0.00997114;0.00994564;0.00760194;0.00537546;0.00378505;0.00371025;0.00345227;0.00272712;0.00286032;0.00355978;0.00483774;EJ
CO2B;Mid-Atlantic grid;DE;0.0175378;0.0156738;0.0129634;0.0172376;0.0164121;0.0163476;0.0168689;0.0183596;0.0193785;0.0218494;0.0266377;EJ
CO2B;Mid-Atlantic grid;DE;0.000312313;0.000340109;0.000282899;0.00034999;0.000367352;0.000394621;0.000458178;0.000534529;0.000619899;0.000781297;0.000980325;EJ
CO2B;Mid-Atlantic grid;DE;0.00316888;0.00259002;0.00219539;0.00255563;0.00267728;0.00287491;0.00332418;0.00387732;0.00449833;0.00571029;0.00716695;EJ
CO2B;Mid-Atlantic grid;MD;0.0558954;0.116956;0.107399;0.102507;0.104006;0.111185;0.119822;0.112255;0.119405;0.171484;0.238916;EJ
CO2B;Mid-Atlantic grid;MD;0.0579655;0.0731097;0.0545349;0.0358973;0.0437011;0.0509572;0.0665605;0.0849944;0.105975;0.144226;0.179015;EJ
CO2B;Mid-Atlantic grid;MD;0.000823634;0.000546915;0.000958195;0.000307791;0.000325383;0.000351137;0.000412512;0.000482975;0.000560685;0.00070467;0.000879309;EJ
CO2B;Mid-Atlantic grid;MD;0.00738569;0.00621175;0.00340068;0.00257963;0.00272518;0.00291932;0.00337657;0.00390502;0.00449077;0.00525534;0.00652675;EJ
CO2B;Mid-Atlantic grid;NJ;0.105027;0.142282;0.151325;0.152713;0.162924;0.169602;0.182497;0.194059;0.205294;0.242997;0.298424;EJ
CO2B;Mid-Atlantic grid;NJ;0.0319772;0.0598384;0.0737044;0.104954;0.100195;0.0991473;0.0996874;0.104055;0.106105;0.116002;0.141047;EJ
CO2B;Mid-Atlantic grid;NJ;0.00139986;0.00329699;0.00166249;0.00217064;0.00226936;0.0024295;0.00274468;0.00311247;0.00354809;0.00442522;0.0054965;EJ
CO2B;Mid-Atlantic grid;NJ;0.00948074;0.0198804;0.0175443;0.0167918;0.0175076;0.0186601;0.0209327;0.0235942;0.0267514;0.0320547;0.0396892;EJ
CO2B;Mid-Atlantic grid;PA;0.427586;0.524582;0.538557;0.517234;0.524236;0.554692;0.606953;0.70171;0.804161;0.973499;1.18071;EJ
CO2B;Mid-Atlantic grid;PA;0.205294;0.267294;0.281487;0.250365;0.257059;0.274096;0.296011;0.323143;0.362591;0.448374;0.557715;EJ
CO2B;Mid-Atlantic grid;PA;0.00222319;0.00212786;0.00300699;0.0033572;0.00335951;0.0034983;0.00364344;0.00390861;0.0042724;0.00515677;0.00634799;EJ
CO2B;Mid-Atlantic grid;PA;0.0138491;0.0165295;0.0224519;0.0226094;0.0226055;0.0235953;0.0246299;0.0265013;0.0290673;0.036669;0.0452868;EJ
CO2B;Mid-Atlantic grid;electricity;0.951799;1.26237;1.28005;1.23712;1.26432;1.33471;1.45176;1.60772;1.80022;2.21359;2.74082;EJ
CO2B;New England grid;CT;0.0934867;0.0848491;0.0856725;0.0896919;0.084351;0.088818;0.0971511;0.104451;0.104436;0.116595;0.13371;EJ
CO2B;New England grid;CT;0.0328379;0.0302216;0.0293127;0.0371986;0.0333857;0.0352653;0.039905;0.0438975;0.0485923;0.0565957;0.0671216;EJ
CO2B;New England grid;CT;0.000590806;0.000408253;0.000455598;0.000597799;0.000535776;0.000581583;0.000684792;0.000767049;0.000862;0.00103891;0.00125219;EJ
CO2B;New England grid;CT;0.00383289;0.0033494;0.00327909;0.00361498;0.00315733;0.00347152;0.00418585;0.00475843;0.0054216;0.00734835;0.00887359;EJ
CO2B;New England grid;MA;0.0641502;0.0873027;0.075609;0.0589622;0.0442802;0.0481871;0.0577425;0.0536611;0.0671035;0.0918799;0.133461;EJ
CO2B;New England grid;MA;0.0702771;0.0691759;0.0650357;0.0496495;0.0440013;0.0470737;0.054569;0.0610576;0.0686694;0.0816328;0.0976211;EJ
CO2B;New England grid;MA;0.00100141;0.000994929;0.0010135;0.000782598;0.000708173;0.000778067;0.000937651;0.00106222;0.00120514;0.00146414;0.00176601;EJ
CO2B;New England grid;MA;0.00777749;0.00767851;0.00730037;0.00674276;0.00619387;0.00669937;0.00784687;0.00874652;0.00977595;0.0105939;0.0127534;EJ
