scenario;region;sector;input;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units;end-use sector
CO2B;AL;comm cooking;electricity;5.63E-04;8.35E-04;0.001756929;5.77E-04;6.73E-04;8.01E-04;9.60E-04;0.001166842;0.001409253;0.001737304;0.002043186;EJ;buildings
CO2B;AL;comm cooking;gas;0.001376605;0.002497897;0.00465988;0.002432802;0.00243202;0.002420166;0.002241503;0.00196223;0.001683554;0.00124493;9.75E-04;EJ;buildings
CO2B;AL;comm cooling;electricity;0.008943989;0.0131745;0.0146063;0.0139404;0.014337828;0.014569915;0.014396814;0.014157189;0.014002346;0.013699114;0.013949097;EJ;buildings
CO2B;AL;comm cooling;gas;1.80E-06;1.06E-04;6.17E-05;5.28E-05;5.30E-05;5.25E-05;5.12E-05;4.92E-05;4.66E-05;3.97E-05;3.54E-05;EJ;buildings
CO2B;AL;comm heating;biomass;0.0013881;7.96E-04;8.78E-04;2.54E-04;2.52E-04;2.66E-04;3.08E-04;2.88E-04;2.28E-04;1.24E-04;7.53E-05;EJ;buildings
CO2B;AL;comm heating;coal;0.00536679;3.55E-05;0;0;0;0;0;0;0;0;0;EJ;buildings
CO2B;AL;comm heating;electricity;0.001094599;0.002387611;0.0015879;0.002425312;0.002731522;0.003001103;0.003339511;0.003879348;0.004572889;0.005772822;0.00635731;EJ;buildings
CO2B;AL;comm heating;gas;0.0114329;0.0147304;0.0126861;0.0107047;0.010048676;0.009755368;0.008864643;0.007531904;0.005973199;0.00293716;0.002043909;EJ;buildings
CO2B;AL;comm heating;refined liquids;0.00898989;0.00408221;0.00456069;0.00137841;0.001306479;0.001267424;0.001142898;9.48E-04;6.99E-04;2.82E-04;1.70E-04;EJ;buildings
CO2B;AL;comm hot water;electricity;0.00233459;0.0016181;8.39E-04;0.00222011;0.00261537;0.003018092;0.003456076;0.003970108;0.004644843;0.005788466;0.006685695;EJ;buildings
CO2B;AL;comm hot water;gas;0.00978096;0.0062625;0.00803477;0.00739812;0.007397903;0.007420361;0.007145764;0.006553276;0.005795199;0.004125525;0.003207892;EJ;buildings
CO2B;AL;comm hot water;refined liquids;3.74E-04;3.46E-04;8.13E-04;0.0016505;0.001598902;0.001547722;0.001421695;0.001189139;8.59E-04;4.21E-04;2.54E-04;EJ;buildings
CO2B;AL;comm lighting;electricity;0.0145393;0.022765;0.0150151;0.0172863;0.016544041;0.015484739;0.013651702;0.011070257;0.011058701;0.011161121;0.011401938;EJ;buildings
CO2B;AL;comm non-building;electricity;0.0060541;0.0071041;0.0097965;0.0122117;0.0127744;0.0133641;0.0140265;0.0145792;0.0151509;0.0156389;0.0161213;EJ;buildings
